codeId,codeType,txtName,codeLgt,codeMarking,txtDescrLgt,txtDescrMarking,geoLat,geoLong,valGeoAccuracy,uomGeoAccuracy,valElev,valElevAccuracy,valHgt,codeHgtAccuracy,uomDistVer,valRadius,uomRadius,codeGroupId,txtGroupName,codeLinkedToId,codeLinkType,datetimeValidWef,datetimeValidTil,txtRmk,source
"239","WINDTURBINE","WINDTURBINE","Y","","","","38.23358056N","023.41169167E","0","M","795","0","125","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"240","WINDTURBINE","WINDTURBINE","Y","","","","38.22602500N","023.40738611E","0","M","897","0","130","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"241","WINDTURBINE","WINDTURBINE","Y","","","","38.22554722N","023.41258889E","0","M","966","0","130","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"242","WINDTURBINE","WINDTURBINE","Y","","","","38.22454167N","023.41688056E","0","M","963","0","130","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"243","WINDTURBINE","WINDTURBINE","Y","","","","38.21903056N","023.40741111E","0","M","919","0","130","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"244","WINDTURBINE","WINDTURBINE","Y","","","","38.21788333N","023.41212500E","0","M","952","0","130","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"245","WINDTURBINE","WINDTURBINE","Y","","","","38.21678889N","023.41648611E","0","M","969","0","130","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"246","CHIMNEY","CHIMNEY","Y","","","","37.41796944N","022.10798611E","0","M","496","0","110","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"247","CHIMNEY","CHIMNEY","Y","","","","37.41728889N","022.10790278E","0","M","565","0","179","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"248","TOWER","TOWER","N","","","","37.41638889N","022.10823889E","0","M","486","0","100","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"249","BUILDING","BUILDING","N","","","","37.41746944N","022.10895833E","0","M","487","0","101","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"250","CHIMNEY","CHIMNEY","Y","","","","37.41539444N","022.06601111E","0","M","568","0","200","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"251","TOWER","TOWER","N","","","","37.41580278N","022.06483889E","0","M","473","0","105","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"252","MAST","MAST","Y","","","","37.97103333N","023.41954722E","0","M","207","0","180","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"253","BUILDING","BUILDING","N","","","","40.81141111N","021.60070278E","0","M","833","0","115","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
