codeId,codeType,txtName,codeLgt,codeMarking,txtDescrLgt,txtDescrMarking,geoLat,geoLong,valGeoAccuracy,uomGeoAccuracy,valElev,valElevAccuracy,valHgt,codeHgtAccuracy,uomDistVer,valRadius,uomRadius,codeGroupId,txtGroupName,codeLinkedToId,codeLinkType,datetimeValidWef,datetimeValidTil,txtRmk,source
363,MAST,BORLÄNGE/IDKERBERGET,YES,,FLG W,,60.382275,15.138361,0,M,2657,0,1073,YES,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Mast,Swedish Aeronautical Information Service
370,MAST,VIKMANSHYTTAN,YES,,F R,,60.31075,15.824917,0,M,968,0,338,YES,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Mast,Swedish Aeronautical Information Service
383,MAST,GÄVLE,YES,,F R/FLG W,,60.63086,17.129223,0,M,1220,0,1070,YES,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Mast,Swedish Aeronautical Information Service
384,CHIMNEY,SKUTSKÄR,YES,,F R,,60.645615,17.387722,0,M,423,0,394,YES,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Chimney,Swedish Aeronautical Information Service
386,CHIMNEY,GÄVLE/KARSKÄRSVERKEN,YES,,F R,,60.68286,17.271528,0,M,505,0,482,YES,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Chimney,Swedish Aeronautical Information Service
394,MAST,ÖSTHAMMAR/VALÖ,YES,,F R/FLG W,,60.263027,18.072584,0,M,1228,0,1086,YES,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Mast,Swedish Aeronautical Information Service
395,CHIMNEY,FORSMARK 1,YES,,F R,,60.404057,18.174194,0,M,338,0,328,NO,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Chimney,Swedish Aeronautical Information Service
396,MAST,FORSMARK 2,YES,,F R,,60.401363,18.182917,0,M,350,0,344,YES,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Mast,Swedish Aeronautical Information Service
397,MAST,GRISSLEHAMN,YES,,F R,,60.09189,18.816,0,M,458,0,361,YES,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Mast,Swedish Aeronautical Information Service
398,MAST,GRÄSÖ,YES,,F R,,60.497112,18.397778,0,M,419,0,358,YES,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Mast,Swedish Aeronautical Information Service
407,MAST,TRANSTRAND,YES,,F R,,61.052193,13.30339,0,M,2295,0,361,YES,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Mast,Swedish Aeronautical Information Service
