obs_id;aip_id;obs_txt_name;obs_txt_name_cz;obs_txt_descr_type;obs_txt_descr_type_cz;obs_val_elev;obs_val_hgt;obs_uom_dist_ver;obs_txt_ver_datum;obs_geo_lat;obs_geo_long;obs_code_datum;obs_txt_descr_marking;obs_txt_descr_marking_cz;obs_txt_descr_lgt;obs_txt_descr_lgt_cz;obs_code_lgt;obs_txt_rmk;obs_txt_rmk_cz
99894;407b;MEZNA;MEZNÁ;transmission line;el. vedení;299;136;M;BpV;505149.69N;0141840.98E;WGE;unknown;není známo;ValueEmpty;ValueEmpty;N;NR:407b (Part of line obstacle: 407);NR:407b (Součást liniové překážky: 407)
99893;407a;MEZNA;MEZNÁ;pole;sloup;306;26;M;BpV;505157.41N;0141838.06E;WGE;without marking;bez značení;ValueEmpty;ValueEmpty;N;NR:407a (Part of line obstacle: 407);NR:407a (Součást liniové překážky: 407)
99895;407c;MEZNA;MEZNÁ;pole;sloup;294;34;M;BpV;505143.76N;0141843.22E;WGE;without marking;bez značení;ValueEmpty;ValueEmpty;N;NR:407c (Part of line obstacle: 407);NR:407c (Součást liniové překážky: 407)
83731;144;MILEVSKO;MILEVSKO;chimney;komín;565;128;M;BpV;492627.45N;0142300.29E;WGE;day marking;denní značení;night marking;noční značení;Y;ValueEmpty;ValueEmpty
83875;178;MLADA BOLESLAV;MLADÁ BOLESLAV;chimney;komín;412;201;M;BpV;502502.34N;0145559.06E;WGE;day marking;denní značení;night marking;noční značení;Y;ValueEmpty;ValueEmpty
83873;66;MNISEK;MNÍŠEK;wind power plant;větrná elektrárna;902;120;M;BpV;503720.69N;0133042.50E;WGE;day marking;denní značení;night marking;noční značení;Y;ValueEmpty;ValueEmpty
99956;428c;MOHELNICE;MOHELNICE;pole;sloup;327;44;M;BpV;503359.69N;0145819.15E;WGE;without marking;bez značení;ValueEmpty;ValueEmpty;N;NR:428c (Part of line obstacle: 428);NR:428c (Součást liniové překážky: 428)
99955;428b;MOHELNICE;MOHELNICE;transmission line;el. vedení;338;109;M;BpV;503356.39N;0145813.38E;WGE;unknown;není známo;ValueEmpty;ValueEmpty;N;NR:428b (Part of line obstacle: 428);NR:428b (Součást liniové překážky: 428)
99954;428a;MOHELNICE;MOHELNICE;pole;sloup;347;44;M;BpV;503343.83N;0145801.57E;WGE;without marking;bez značení;ValueEmpty;ValueEmpty;N;NR:428a (Part of line obstacle: 428);NR:428a (Součást liniové překážky: 428)
83773;273;MOKRA;MOKRÁ;silo;silo;408;100;M;BpV;491300.89N;0164628.10E;WGE;without marking;bez značení;ValueEmpty;ValueEmpty;N;ValueEmpty;ValueEmpty
83574;84;MOST;MOST;building;budova;364;100;M;BpV;503022.18N;0133834.53E;WGE;ValueEmpty;ValueEmpty;night marking;noční značení;Y;ValueEmpty;ValueEmpty
83699;241;NACHOD;NÁCHOD;chimney;komín;447;103;M;BpV;502509.71N;0161007.21E;WGE;day marking;denní značení;ValueEmpty;ValueEmpty;N;ValueEmpty;ValueEmpty
83598;247;NEDVEDICE;NEDVĚDICE;chimney;komín;430;110;M;BpV;492728.27N;0162015.36E;WGE;day marking;denní značení;night marking;noční značení;Y;ValueEmpty;ValueEmpty
